Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2024-05-31,190.59896850585938,149.00808715820312,118.93470001220703,438.3172607421875,130.9974822998047,138.5794219970703,194.25917053222656,59.000205993652344,245.3646240234375,463.2571716308594,116.8123779296875,21.68000030517578,395.0899963378906,471.5079650878906,109.80872344970703
2024-06-03,192.36366271972656,144.5644989013672,119.76384735107422,436.8386535644531,130.07412719726562,139.5904083251953,193.48265075683594,59.000205993652344,247.77806091308594,473.8356018066406,119.4921646118164,21.31999969482422,389.9100036621094,473.4783020019531,107.1772689819336
2024-06-04,192.680908203125,143.3433837890625,119.10824584960938,437.1459045410156,128.96612548828125,139.64710998535156,190.93252563476562,59.9471321105957,250.6111602783203,473.33941650390625,119.76200866699219,22.100000381469727,389.4100036621094,481.1405334472656,105.5103759765625
2024-06-05,194.1878662109375,142.28758239746094,118.5490493774414,443.271484375,129.490966796875,137.91806030273438,189.1110076904297,59.928382873535156,248.00697326660156,491.2711486816406,120.45054626464844,22.959999084472656,387.1600036621094,478.8846740722656,105.93177795410156
2024-06-06,192.80978393554688,143.15977478027344,119.0793228149414,439.83428955078125,128.2274627685547,138.3432159423828,188.77545166015625,60.144020080566406,248.70330810546875,489.9810791015625,121.4461669921875,23.790000915527344,384.8800048828125,477.74249267578125,106.72776794433594
2024-06-07,195.1990966796875,143.29750061035156,116.14837646484375,436.77142333984375,126.90560913085938,138.96681213378906,191.68988037109375,59.91901397705078,244.40118408203125,489.18719482421875,121.58572387695312,23.309999465942383,382.6099853515625,467.0534362792969,105.58531188964844
2024-06-10,191.46145629882812,143.90342712402344,114.54791259765625,435.4656982421875,126.61404418945312,139.01405334472656,191.36390686035156,59.618988037109375,242.11178588867188,498.75341796875,122.3487319946289,23.1299991607666,382.5,471.1558532714844,105.89433288574219
2024-06-11,205.37098693847656,143.67391967773438,113.3813247680664,426.5556945800781,123.7176742553711,138.66445922851562,186.330810546875,59.58148956298828,242.56015014648438,503.5861511230469,122.67437744140625,23.850000381469727,387.69000244140625,472.31707763671875,105.04215240478516
2024-06-12,211.24014282226562,141.58984375,109.92975616455078,430.80908203125,125.80732727050781,137.38894653320312,183.61773681640625,58.95332717895508,242.7509307861328,504.9456481933594,121.14842224121094,23.770000457763672,390.1199951171875,469.3187561035156,103.8809585571289
2024-06-13,212.40008544921875,140.3228302001953,109.99724578857422,428.55279541015625,124.52436828613281,137.4267120361328,185.6597442626953,59.05645751953125,242.00686645507812,500.2419128417969,120.37610626220703,23.270000457763672,396.3900146484375,473.344970703125,103.04749298095703
2024-06-14,210.66513061523438,140.07496643066406,109.8140640258789,428.6583557128906,125.14640808105469,137.5117645263672,185.77476501464844,59.09897232055664,241.89239501953125,500.7982177734375,120.47846984863281,23.56999969482422,390.82000732421875,473.17364501953125,102.17660522460938
2024-06-17,214.80923461914062,140.64418029785156,110.75889587402344,432.2300720214844,127.3138427734375,137.89915466308594,186.92520141601562,59.16510772705078,241.8256378173828,503.2517395019531,119.34585571289062,25.020000457763672,389.1499938964844,467.63922119140625,101.47425842285156
2024-06-18,212.4496612548828,140.77273559570312,106.81562805175781,439.19091796875,129.94778442382812,137.61570739746094,188.8617401123047,59.174564361572266,239.23098754882812,496.15936279296875,119.80451202392578,25.81999969482422,382.5899963378906,459.8201904296875,102.429443359375
2024-06-20,207.87924194335938,143.81163024902344,108.65709686279297,439.7862243652344,129.07302856445312,139.62820434570312,190.46278381347656,58.749385833740234,242.1022491455078,498.3546142578125,121.3770751953125,25.559999465942383,378.3999938964844,463.1370544433594,104.63947296142578
2024-06-21,205.70806884765625,142.56301879882812,109.76586151123047,432.2300720214844,126.14750671386719,140.54469299316406,188.19068908691406,59.30683517456055,247.4346466064453,491.4807434082031,122.35990905761719,23.84000015258789,383.8500061035156,461.2922668457031,103.72174835205078
2024-06-24,206.3524932861328,146.26296997070312,110.99992370605469,443.6651611328125,126.86672973632812,140.89427185058594,190.66409301757812,60.44063186645508,248.37896728515625,495.5832214355469,124.45665740966797,24.15999984741211,389.7200012207031,468.3561096191406,106.80269622802734
2024-06-25,207.2744903564453,145.4825897216797,109.79476165771484,439.1429748535156,127.27494812011719,139.0707550048828,189.8875732421875,60.31780242919922,245.5172576904297,507.1952819824219,124.41921997070312,24.559999465942383,388.19000244140625,463.11798095703125,107.10235595703125
2024-06-26,211.41859436035156,143.17811584472656,109.1584701538086,437.68353271484375,127.83867645263672,138.72116088867188,189.27398681640625,60.51621627807617,245.94650268554688,509.6985168457031,123.09004211425781,24.100000381469727,387.8800048828125,462.6782531738281,107.13981628417969
2024-06-27,212.2613067626953,143.5178680419922,106.88311767578125,428.17828369140625,130.10328674316406,137.7574462890625,190.94212341308594,60.383941650390625,246.2708282470703,516.0955200195312,121.51749420166016,25.219999313354492,385.95001220703125,464.9723205566406,107.59867095947266
2024-06-28,208.81117248535156,143.6096649169922,102.58311462402344,434.28472900390625,131.07521057128906,138.0975799560547,193.90444946289062,60.13829040527344,243.09432983398438,500.85784912109375,115.88249969482422,25.329999923706055,385.8699951171875,486.78533935546875,107.80469512939453
2024-07-01,214.88853454589844,143.70147705078125,101.59969329833984,445.1725769042969,131.55148315429688,138.36212158203125,196.9626922607422,59.788700103759766,238.4678497314453,501.31475830078125,119.72026824951172,25.8799991607666,384.4100036621094,472.8200378417969,107.65486145019531
